uf;estado;secao;nome_secao;co_pais;co_pais_ison3;destino;periodo;valor_fob
AL;Alagoas;I;Animais vivos e produtos do reino animal;013;004;Afeganistão;P2;1818.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;023;276;Alemanha;P2;18384.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;043;028;Antígua e Barbuda;P1;3256.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;043;028;Antígua e Barbuda;P2;10838.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;053;682;Arábia Saudita;P2;4109.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;063;032;Argentina;P2;59400.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;077;044;Bahamas;P1;30575.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;077;044;Bahamas;P2;109503.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;080;048;Barein;P2;5428.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;083;052;Barbados;P2;18169.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;087;056;Bélgica;P1;3040.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;087;056;Bélgica;P2;8228.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;088;084;Belize;P2;12272.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;090;060;Bermudas;P1;4304.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;105;076;Brasil;P1;4119.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;105;076;Brasil;P2;27382.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;111;100;Bulgária;P2;858.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;137;136;Cayman, Ilhas;P2;18429.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;145;120;Camarões;P2;6629.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;149;124;Canadá;P2;2560.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;160;156;China;P1;24436.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;160;156;China;P2;96990.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;161;158;Taiwan (Formosa);P2;7301.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;163;196;Chipre;P1;334.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;163;196;Chipre;P2;82680.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;169;170;Colômbia;P2;3087.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;173;174;Comores;P2;4176.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;183;184;Cook, Ilhas;P2;6899.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;190;410;Coreia do Sul;P1;2537.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;190;410;Coreia do Sul;P2;8350.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;195;191;Croácia;P2;7077.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;232;208;Dinamarca;P1;19464.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;232;208;Dinamarca;P2;60933.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;239;218;Equador;P1;48232.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;244;784;Emirados Árabes Unidos;P2;58.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;249;840;Estados Unidos;P2;34901.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;255;238;Falkland (Malvinas);P2;14994.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;267;608;Filipinas;P1;2017.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;267;608;Filipinas;P2;36024.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;275;250;França;P1;766.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;275;250;França;P2;2708.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;281;266;Gabão;P2;16683.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;293;292;Gibraltar;P1;1264.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;293;292;Gibraltar;P2;6362.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;301;300;Grécia;P1;42818.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;301;300;Grécia;P2;205010.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;334;624;Guiné-Bissau;P2;1745.00
AL;Alagoas;I;Animais vivos e produtos do reino animal;351;344;Hong Kong;P1;29829.00
